Федоров;Глеб;Михайлович;o@outlook.com;2L6KZG;1
Семенова;Софья;Дмитриевна;hr6zdl@yandex.ru;uzWC67;1
Васильев;Егор;Германович;kaft93x@outlook.com;8ntwUp;1
Смирнова;Ирина;Александровна;dcu@yandex.ru;YOyhfR;2
Петров;Андрей;Владимирович;19dn@outlook.com;RSbvHv;2
Егоров;Максим;Андреевич;pa5h@mail.ru;rwVDh9;2
Никитин;Артур;Алексеевич;281av0@gmail.com;LdNyos;3
Киселев;Максим;Сергеевич;8edmfh@outlook.com;gynQMT;3
Борисов;Тимур;Егорович;sfn13i@mail.ru;AtnDjr;3
Климов;Арсений;Тимурович;g0orc3x1@outlook.com;JlFRCZ;3
